"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Taking Now","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","3 years, 2 months ago","

                                    Patrick Di Justo
                                
","Taking Now",10,"1 review","0 completed","
                    Wonderful, wonderful course on learning Python. The professors seem to like
teaching the class (and really seem to like each other, which come across and
actually makes the class even more enjoyable). The lessons and mini projects
are perfectly calibrated to be challenging without being impossible -- after
the first week I started each homework assignment saying ""I DON""T KNOW HOW TO
DO THIS!!"", but then realized that they did indeed teach us everything we'd
need to know to complete the assignment. I think I read there were something
like 40,000 students taking the course. How do you grade 40,000 assignments in
one week? You provide a very careful rubric and you do peer review. This is
actually the toughest part of the class, because your peers are even less
forgiving than the professors would be. All in all, I'm glad to be taking this
course, and I recommend it to anyone who wants to learn Python.


                "
"2","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Taking Now","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","3 years, 1 month ago","

                                    Natalya Ivanova
                                
","Completed",10,"1 review","1 completed","
                    Wonderful experience! I'm impressed so much with both the material and the way
this course is organized. Lectures, quizzes and mini-projects were
entertaining and challenging. Still, while I was enjoying and having fun, I
also learned a lot about the language which was new to me. The professors
really love what they do, which is the most important. They put really a lot
of work into this course, so that even newcomers could write applications with
GUI using some OOP. This is incredible! I'm looking forward to other courses
of the professors! It was really a 8-week long holiday to me, despite hard
work upon the assignments:)


                "
"3","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Taking Now","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","3 years, 1 month ago","

                                    Justin Eittreim
                                
","Completed",10,"1 review","1 completed","
                    This class makes itself different from others in a few different ways. The
class works around an open, friendly, and supportive environment that makes
learning easy and welcoming. The professors of the class do a great job of
making things interesting and at times very funny, while at the same time
walking you through learning to program with Python and teaching you the
fundamentals of programming in general. This class is a gem, and something
that everyone should take, regardless of their skill level. I've been
programming/coding for the past 8 years, and was quite familiar and
comfortable with Python before even starting the class. I initially started
the class because I liked the way the professors did things, and I thought it
would at the least be a fun experience overall. I ended up learning a few
things that I didn't even know about Python, as well as alternate ways to do
things I already knew of. And this, in my opinion, makes the class priceless
and well worth the time I spent on it. I truly have to give my thanks to the
professors, to Rice University, and to Coursera. All of you have made a
valuable impact of my life that I will keep close for the long run.


                "
"4","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Taking Now","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","2 years, 9 months ago","

                                    Brian Sy
                                
","Dropped",7,"1 review","0 completed","
                    66 reviews and only one that's below 4 stars, eh? I agree that this class has
a lot going for it: the professors are smart, cool guys while also being
skilled communicators who explain things well (Mr. Rixner especially -- maybe
he should be the sole instructor). Watching the video lectures, almost
everything made sense while it was happening, and it encouraged me to press
on. But then came the first test and project, which both left me stumped on
several points. I ended up spending hours on each, mostly on scanning the
forums in the hopes of finding a message thread that would answer my question
(I often got lucky eventually, but not always). I'm not sure if it was a
matter of being tested on concepts not covered very thoroughly in the
lectures, or the class not giving enough practice for the material to absorb
properly (there's no homework; maybe it would help?), or whether I'm just
slow. In any event, the frustration, coupled with my subsequent inability to
meet the deadline, inspired me to drop out. It's strange: I always saw math,
logic and analysis as my strong suits. Either I was wrong all along or this
course needs tweaking to be more n00b-friendly.


                "
"5","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Taking Now","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","3 years, 1 month ago","

                                    Paul Stock
                                
","Completed",10,"1 review","1 completed","
                    Very entertaining course. The instructors refused to take themselves too
seriously and made the topics very interesting and easy to follow along. I
thoroughly enjoyed this course and would encourage anyone who wants to learn
basic Python to give it a try.


                "
"6","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Taking Now","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","3 years, 1 month ago","

                                    Ron May
                                
","Completed",10,"1 review","1 completed","
                    Excellent class to introduce Python and programming in general. This was my
first course on Coursera and I am very happy with the format and interaction.
Having done distance learning and selfstudy courses before I am most impressed
with the student to student and student to instructor interaction this adds
the missing dimension to distance learning bring it up to the level of being
at there. I will be taking other Coursera courses and hope the experience
continues. I have used the MIT open course ware and although it's content was
good it lacked a fundamental part of the learning process, interaction with
other students, instructors and there feedback. This course format gives an
experience very close to being in College and thats something that has been
lacking in distance learning. So well done Rice, Coursera and everyone
involved. Thank you everyone for putting in the time and effort.


                "
"7","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Taking Now","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","2 years, 1 month ago","

                                    Matthew Webster
                                
","Completed",10,"2 reviews","2 completed","
                    Overall Assessment: The professors here did a great job of explaining the
programming fundamentals, keeping the videos light and MOST IMPORTANTLY
showing concern/engaging with the students (Joe Warren actually reviewed my
final project in the Code Clinic). Also, I am a huge fan of CodeSkulptor not
only because it is a really easy to use this web based program but also
because I was able to share my games with friends/family and they were able to
play in their browser vs downloading a Python shell. Know Before You Start:
(1) Use the Code Clinic early and often. You can waste a lot of time debugging
and the TAs/Professors are very responsive and can diagnose issues quickly.
(2) Start your mini-projects early. In order to see the solution, I needed to
step away from the computer and if you are scrambling before a deadline
(projects have a hard deadline of 10pm PT on Saturdays), you will get
stressed. Target Audience & Prerequisites: Great class for those with little
to no programming background and looking to get hands on experience in coding.
Probably couldn't become a developer after this class but definitely would be
able to build some cool variations of the mini-game projects. Having some math
background is important but if you know how to use Excel then you will do well
since Python is very similar to writing Excel formulas (lots of ""if""
statements) Difficulty: As a novice, I found this course about medium
difficulty. Learning how to debug took the most time. That being said, the
CodeSkulptor interface is great and the weekly instruction guide for the
projects provide a great walkthrough of how to build a game. Weekly Workload:
There are about 1.5 - 2 hours of videos to watch, the quizzes take at most 20
mins each but the projects are what were very time consuming. Early projects
took about 3 hours to complete but later projects (e.g. Blackjack) were more
in the 5 hour range. A great resource that I didn't really use until the end
was their Code Clinic where you could send in your program and they will help
you debug. Great response time that was typically within 2 hours of sending an
email. What Could Be Improved: The peer grading system is good for ensuring
completion of assignments but I never received any useful feedback on how to
improve my code. The challenge is that when you have to peer grade 5 other
assignments then you just don't have time to go through a debug and provide
helpful commentary.


                "
"8","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Taking Now","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","3 years, 1 month ago","

                                    Barak
                                
","Completed",10,"1 review","1 completed","
                    I have no words to describe that fantastic experience that I had in these 2
month. Its the best course ever. I really liked the way it was planned, the
short lectures, the humor and atmosphere, and of course it content. I love
playing computer games (and playing childhood games like pong and asteroids -
own made was even extra fun) and had to learn python for my work, so I got 2
birds in one shot. You guys made these videos, in a way, that I really felt
like i'm actually sitting in your class (and even a small one), so even it was
hard for me to spend the required time, listening, answering the quizzes and
coding the mini-projects, and I'm happy to be able to ""return to my wife and
kids"", I'm going to miss watching your videos. btw, some WERE crazy. Thanks
again, for preparing such a well design and warm course.


                "
"9","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Taking Now","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","3 years, 1 month ago","

                                    Jeanne Boyarsky
                                
","Completed",10,"30 reviews","29 completed","
                    I already knew a decent amount of Python before this course started which
means I didn't learn that much. (list comprehensions were the only thing new.)
I signed up because I wanted to see how an intro to programming course could
be taught online. I think the professors did a great job. The videos were
clearly designed for internet learning and they tried to be fun. The quizzes
and homeworks had strong ties to the course. Peer review went better than in
some other classes I've taken although I would like to have seen more review
of the code and not just the functionality. I liked this discussions held in
the forum. I learned about pyUnit (on my own) to make the assignments more
challenging - and easier since I had regression tests. Another student did the
same so we got to talk about it. The course also held a video contest where
the winner got an iPad. I didn't follow along with that during the course, but
I think it was a good idea. The course used http://codeskulptor.org as the
development environment which introduced consistency and prevented needing to
download Python. (I had it already and used my Python for pyUnit.) The browser
version didn't work consistently in all browsers. If we are supposed to use
Chrome, it would be nice to say that week 1.


                "
"10","An Introduction to Interactive Programming in Python by Coursera","Joe Warren, Scott Rixner, John Greiner, Stephen Wong
                        ","Taking Now","Rice University
                            ","
                            This course is designed to be a fun introduction to the basics of programming in Python. Our main focus will be on building simple interactive games such as Pong, Blackjack and Asteroids.
                        ","3 years, 2 months ago","

                                    Vadim Solomonik
                                
","Completed",10,"6 reviews","6 completed","
                    very well done. starting with specially designed sandbox -
http://www.codeskulptor.org/ you have everything to learn the basics of
Programming and Python. the learning curve is perfect: from nothing to complex
game design in 8 week. requires curiosity, persistence, and sense of humor.


                "
